Download Winning Numbers from www.calottery.com on 7/4/2018 5:18:47 PM for MEGA MILLIONS

Draw #     Draw Date             Number_1    Number_2    Number_3    Number_4    Number_5     Mega
------  -----------------        --------    --------    --------    --------    --------    ------

979     Fri. Nov 07, 2014          31          35          41          65          66          5     
978     Tue. Nov 04, 2014          9          15          24          39          41          1     
977     Fri. Oct 31, 2014          11          29          36          58          67          15     
976     Tue. Oct 28, 2014          3          50          57          58          60          11     
975     Fri. Oct 24, 2014          2          14          21          28          55          3     
974     Tue. Oct 21, 2014          5          35          37          41          66          11     
973     Fri. Oct 17, 2014          21          31          43          56          60          12     
972     Tue. Oct 14, 2014          11          37          46          64          68          15     
971     Fri. Oct 10, 2014          2          32          35          50          59          3     
970     Tue. Oct 07, 2014          16          29          46          48          55          2     
969     Fri. Oct 03, 2014          3          20          34          58          67          6     
968     Tue. Sep 30, 2014          3          16          52          54          61          6     
967     Fri. Sep 26, 2014          17          26          35          46          62          9     
966     Tue. Sep 23, 2014          21          24          25          40          43          12     
965     Fri. Sep 19, 2014          16          25          27          29          34          2     
964     Tue. Sep 16, 2014          25          45          51          53          73          2     
963     Fri. Sep 12, 2014          18          28          33          36          42          7     
962     Tue. Sep 09, 2014          25          34          55          70          71          1     
961     Fri. Sep 05, 2014          7          12          20          24          59          7     
960     Tue. Sep 02, 2014          1          8          54          69          72          1     
959     Fri. Aug 29, 2014          3          26          45          58          73          12     
958     Tue. Aug 26, 2014          29          31          51          60          64          1     
957     Fri. Aug 22, 2014          5          31          34          41          74          3     
956     Tue. Aug 19, 2014          22          39          56          67          71          15     
955     Fri. Aug 15, 2014          16          19          28          29          68          9     
954     Tue. Aug 12, 2014          32          53          60          63          68          6     
953     Fri. Aug 08, 2014          9          16          61          70          75          7     
952     Tue. Aug 05, 2014          25          28          36          45          53          6     
951     Fri. Aug 01, 2014          13          29          34          37          72          6     
950     Tue. Jul 29, 2014          2          8          16          43          74          1     
949     Fri. Jul 25, 2014          22          29          33          41          68          12     
948     Tue. Jul 22, 2014          14          18          22          31          47          15     
947     Fri. Jul 18, 2014          5          8          59          65          72          3     
946     Tue. Jul 15, 2014          2          4          17          36          40          5     
945     Fri. Jul 11, 2014          9          13          30          35          69          10     
944     Tue. Jul 08, 2014          14          25          27          48          49          9     
943     Fri. Jul 04, 2014          16          33          39          58          69          2     
942     Tue. Jul 01, 2014          9          22          38          47          49          15     
941     Fri. Jun 27, 2014          15          29          31          46          64          10     
940     Tue. Jun 24, 2014          13          17          24          47          65          10     
939     Fri. Jun 20, 2014          1          22          25          29          56          3     
938     Tue. Jun 17, 2014          10          14          24          47          60          3     
937     Fri. Jun 13, 2014          7          38          46          49          56          1     
936     Tue. Jun 10, 2014          2          10          24          26          74          7     
935     Fri. Jun 06, 2014          12          29          37          49          72          9     
934     Tue. Jun 03, 2014          19          28          62          66          74          6     
933     Fri. May 30, 2014          10          13          42          43          62          2     
932     Tue. May 27, 2014          1          6          10          46          58          13     
931     Fri. May 23, 2014          12          14          21          38          70          15     
930     Tue. May 20, 2014          10          40          63          64          69          7     
929     Fri. May 16, 2014          13          14          16          50          56          11     
928     Tue. May 13, 2014          37          46          48          70          74          1     
927     Fri. May 09, 2014          10          28          39          51          59          14     
926     Tue. May 06, 2014          18          20          27          48          51          5     
925     Fri. May 02, 2014          1          18          26          35          40          13     
924     Tue. Apr 29, 2014          7          43          59          61          66          3     
923     Fri. Apr 25, 2014          3          11          18          20          66          9     
922     Tue. Apr 22, 2014          2          18          19          49          50          1     
921     Fri. Apr 18, 2014          18          25          38          45          63          9     
920     Tue. Apr 15, 2014          4          39          46          47          70          13     
919     Fri. Apr 11, 2014          3          42          44          47          57          8     
918     Tue. Apr 08, 2014          35          36          41          60          71          3     
917     Fri. Apr 04, 2014          1          10          15          41          54          9     
916     Tue. Apr 01, 2014          10          23          68          74          75          9     
915     Fri. Mar 28, 2014          2          3          9          50          73          12     
914     Tue. Mar 25, 2014          19          26          51          57          73          15     
913     Fri. Mar 21, 2014          2          23          30          35          53          10     
912     Tue. Mar 18, 2014          11          19          24          33          51          7     
911     Fri. Mar 14, 2014          7          20          40          54          69          12     
910     Tue. Mar 11, 2014          9          14          56          57          69          10     
909     Fri. Mar 07, 2014          11          13          51          57          69          1     
908     Tue. Mar 04, 2014          10          29          31          35          45          10     
907     Fri. Feb 28, 2014          3          31          50          58          59          6     
